quotation,code
"So, now it's enabled to be added via regular ndo. I have similar change in mind, but was going to send it after mcast/ucast, and - enabling same vlans patch...2 things stopped me to add this: 1) Moving it to be enabled via regular call is Ok, but in dual mac mode it causes overlaps, at least while vid deletion. So decided to wait till same vlans series is applied. 2) Wanted implement somehow similar handling for single port boards in one patch, not only for dual mac mode. This part was not clear and not verified completely...So, if it's needed  now, maybe better at this moment only remove untag field? and remove vlan0 later, once other vlan changes applied. ",technical
,
"TI driver documentation mentions this restriction ""While adding VLAN id to the eth interfaces, same VLAN id should not be added in both interfaces which will lead to VLAN forwarding and act as switch"" This patch affects only dual mac mode and in this mode adding vid0 by default is definitely make no sense in any case.",technical
,
"It's not accurate now. This sw bug ""acting like a switch"" was fixed indirectly in LKML . And at least for upstream version, not TISDK, desc should be updated, but better do this when it fixed completely and merged with TISDK. I know about this ""written"" restriction (for tiSDK, and it's not TRM after all ...), it can be avoided and it's partly avoided now ...Also, for notice, while you add any of the vlans to any of the ports, vlan0 is added to both of them.....restricted it or not. Thanks to last changes in the driver it's not ""acting like a switch"" The patch in question enables this in ndo, not me.: Adding vlanid 400 to vlan filter I just propose to extend it later, when it's correct to do. But if no harm (basically no harm, only if someone decides to add vlan0 to both ports and then delete on one of them), at least you should take this into account. The above proposition is only to your change, only for dual-mac.",technical
,
"Thank you for your review. Seems not everything works as expected with this patch, so ignore it please.",technical
,
"I'd like to clarify point about supporting same VLANs in dual mac mode, to avoid future misunderstanding, overall: it's *not* supported as adding same VLAN to both net devices will cause unknown unicast packets leaking between interfaces and it can't be avoided - hw limitation. Regarding vid0 - current default configuration of CPSW considersvid0/priority tagged packets as - untagged and assigns pvid to any such ingress packet inside switch. Hence, P0 (Linux host) egress port never modifies packet contents - this behavior is not visible to Linux",technical
,
"Simple test shows no issues with ucast leaking. But for current buggy ucast vlan implementation it's not possible to verify, not sure but probably leaking in your case caused by hidden toggling of interface to promisc while added ucast to vlans or other reason or so. Anyway I just decided to check specifically ucasts (macst as you know are not normal now). For verification you need to apply ucast fix (including vlans) first: This is generic fix (not sure it will be approved, need try RFC) but implement the same as local fix for vlan ucasts: Any of those are correct. I've used generic one. Applied the following scheme, Observe silence on PC wireshark. Thus, no see issues with this. PS: I'm sure in plget tool, you can use your own. I can't verify everything with vlan0 at this moment (not time), just shared my thoughts adding a notice it has same possible overlap issues(or part of them) after this patch as regular vlans have.",technical
,
I'm using packeth to generate udp packets (vlan) src=PC dst=unknown if there is record in ALE table which looks like this then above udp packet will be forwarded to BBB,technical
,
"Agree, seems no normal way to avoid ucast leak.",technical
,
"One of the ways could be removing end ports as memembers, leaving only and allow tagged packets to be received by ports being non members of a vlan. So that only unknown vlans are dropped..",technical
,
"Nice work Rafael. Minor nits below.. minimum observation latency greater What about a short section for the ladder governor as well ? containing Maybe I missed, but I couldn't find any text that says what state 0, 1, ... Nmean. Like which is the deepest idle state and which one is the shallowest. opening constraints",technical
,
"Thanks for the typo fixes.  The spellchecker I have here evidently doesn't work.[cut]There is a paragraph on that above. But this part is missing, good catch!",technical
,
I have this in my .vimrc and I am shown these spelling mistakes somewhat forcefully :) set spell,technical
,
"Interestingly enough, it appears to work when I turn the automatic spell checking, which I don't do for code as a rule, because it distracts me.  I will need to do that for docs going forward it seems, though.BTW, I didn't respond to the remark about the ladder governor.  I have no plans to describe it at this time and that can be done at any time later easily enough if anyone wants to do it.",technical
,
"That would have made this doc complete somewhat. But anyway, that's fine with me.",technical
,
Same as my previous comments.,technical
,
"Hi all, After merging the clk tree, today's linux-next build (armmulti v7 defconfig) failed like this. I have used the clk tree from next-20181129 for today",technical
,
"Did you mean to lose the doubling of ""rate"" above?",technical
,
"Adding the current maintainers on CC.				",technical
,
"Indeed, and it's actually *worse* to read, as 0/1 stands out more and is more compact than false/true...The only reasonable case where bool is recommended is when functions are returning it, to make sure there's no mishap returning something else. But for a plain .c variable? Nope. Ack. ",technical
,
"Personally, I would prefer that assignments involving boolean variables use true or false.  It seems more readable.  Potentially better for tools as well.  But if the community really prefers 0 and 1, then the test can be deleted. ",technical
,
How about it it were suggested only in files that already use true and false somewhere?,technical
,
"Now thinking further about this, I actually still need to validate that the L12 EPT for this gfn actually contains the apic access address. To ensure that I only fixup the fault when the L1 hypervisor sets up both VMCS L12 APIC ACCESS and L12 EPT to contain the same address.Will fix and send v2",technical
,
"The ioctl(BC FREE BUFFER) frees the buffer memory associated with a transaction that has completed processing in user space. If the buffer contains an FDA object (file-descriptor array), then it closes all of the fds passed in the transaction using ksys close(). In the case with the issue, the fd associated with the binder driver has been passed in the array. Since the fdget() optimization didn't increment the reference, this makes us vulnerable to the UAF described above since the rules for fdget() are being violated (ksys close()). This change did prevent the final close during the handling of BC FREE BUFFER, but as you point out, may still result in the final close being processed prematurely after the new fput() (no observed negative side-effects right now, but agreed this could be an issue).I'll rework it according to your suggestion. I had hoped to do this in a way that doesn't require adding calls to non-exported functions since we are trying to clean up binder (I hear you snickering) to be a better citizen and not rely on internal functions that drivers shouldn't be using. I presume there are no plans to export task work add()...There are indeed many things about the binder interface we'd do differently if we had the chance to start over...",technical
,
Thanks for the detailed responses. I'll rework it for v3.,technical
,
"Er...  Your variant critically depends upon binder being non-modular; if it*was* built as a module, you could	* lose the timeslice just after your fput()	* have another process hit the final fput() *and* close the struct file	* now that module refcount is not pinned by anything, get rmmod remove your module	* have the process in binder ioctl() regain the timeslice and find the code under it gone. That's one of the reasons why such kludges are brittle as hell - normally you are guaranteed that once fdget() has succeeded, the final fput() won't happen until fdput().  With everything that guarantees in terms of code/data not going away under you.  This patch relies upon the lack of accesses to anything sensitive after that fput() added into binder ioctl().  Which is actually true, but only because the driver is not modular...At least this variant (task work add()-based) doesn't depend on anything subtle - the lack of exports is the only problem there (IOW, it would've worked in a module if not for that).",technical
,
" ,That should be s/high/above I suppose. Other than that this seems really useful :-) ",technical
,
"Right, thanks for spotting this. :-) Thanks!",technical
,
"s/metrics/metrics am probably pointing out something that has been already debated, apologies if so. exit latency is the *worst* case exit latency for idle states that involve multiple CPUs, we can't say for certain it is the latency that was actually experienced by the idle state exit. It can be microseconds (eg CPU resume) vs milliseconds (eg groups of cpus resume).I think the current approach (which may only understimate the ""below"" by subtracting the worst case value) is reasonable but I pointed this out since I do not know how these stats will be used.",technical
,
"Right, thanks! Right. This is on purpose. I want to count the cases when the selected state has been off for certain.",technical
,
"...[snip]...Same here. Same here.My graphs now include the ""above"" and ""below"" metrics. In particular see Idle State 1 ""above"" (was too deep) graphs in the links below. However, performance is up and power about the same, so O.K. I cherry picked a couple of the mmtests that Giovanni was doing: Test kernels:""stock"" kernel 4.20-rc5 + a couple of rjw patches. Specifically:	 (note: slow upload speed from my server) The above results tables are also here: I wanted to also do the tbench on loopback test, but have not been able to get it working on my system yet. I'll supply more test results at a later date.... ",technical
,
"Thanks a lot for the comprehensive results, much appreciated as always! This basically confirms my own observations, so my overall conclusion is that what we have here is as good as it can get without changing the approach entirely or adding complications that would be difficult to justify in general. And so that's what I'm going to do.",technical
,
"I like that you're getting rid of the extra task let, but the other part of this is properly refilling your rx ring.  The way you have this coded, you always blindly just receive the incoming frame, even if your refill operation fails. If you get a long enough period in which you are memory constrained, you will wind up with an empty rx ring, which isn't good.  With this patch, if your ring becomes empty, then you will stop receiving frames (no buffers to put them in), which in turn will prevent further attempts to refill the ring.  The result is effectively a hang in traffic reception that is only solveable by a NIC reset. Common practice is to, for each skb that you intend to receive: 1) Allocate a replacement buffer/skb2a) If allocation succeeds, receive the buffer currently on the ring, and replace it with the buffer from (1) 2b) If allocation fails, record a frame drop, mark the existing buffer as clean, and move on This process ensures that the ring never has any gaps in it, preventing the above hang condition. ",technical
,
It should be Note that The check is not strictly needed in this artificial example because we never read/write any data there. But I agree that we should add the check to promote the the right programming patterns.,technical
,
The same comments apply here as for PATCH 1/2.,technical
,
thanks for catching this ! will send a V2.,technical
,
"This is unusual and the example below lists a clock phandle (which is the common thing), so I guess the description is just wrong. What is the unit? I'd drop ""approx."", that the driver might not be able to exactly hit the specified period is (IMHO) obvious and doesn't need to be mentioned in the property name.",technical
,
"If there is a publically available reference manual, please add a link to it here.@Thierry: You see, this driver is cheating in the same way that I suggested to implement for imx. You must not use / to divide an u64 (unless you're on a 64 bit arch).Also if real period is for example 10 ms and the consumer requests duty=12 ms + period=100 ms, the hardware is configured for duty=1.2 ms +period=10 ms, right? You should also check polarity (and fail if it's !=PWM POLARITY INVERSED?).If state->duty cycle == state->period, we end up with frac = 0xffff.Does that mean the chip cannot output 100%? Is this the expected behaviour of .apply to update *state? (I think it's a good idea, but I think it misses official blessing.) How does a period start with this PWM hardware. The expected behaviour would be to start with low level for duty cycle and then high for the rest of the period (given that the polarity is always inversed). Is this what the hardware actually does? If the duty cycle changes, is the currently running period completed before the new setting gets active? If yes, .apply is supposed to block until the new setting is active. A single space before the = please. What happens with the output if you don't set the BIT PWM EN ALWAYS bit? I suggest commenting this assignment with something like: ""As scale <=15 the shift operation cannot overflow."" You must use div64 ul for dividing an unsigned long long variable. Can it happen that the result is too big to be hold by read period (which is an unsigned int only)?Maybe add a dev dbg with the new real period here.Please don't emit an error message if PTR ERR(pwm->clk) is-EPROBE DEFER. You're supposed to call clk get rate only after you enabled the clk. In probe you setup the clk notifier before calling pwmchip add. So it's a good habit to do it the other way round in .remove. You're not using the irq that according to the dt binding is required?!",technical
,
This should reference the common doc Paul has written and not re-explain the versioning scheme again. Needs a unit suffix as defined in property-units.txt,technical
,
Ok sure. Will be done. Thanks for the comments!,technical
,
"You are right, I will correct the description. The unit is nanoseconds. Will add the unit suffix to the property name. Thanks for the comments!",technical
,
"Ok will add the link to the reference manual. Will use div u64(). Right. Will add the check for polarity. No, it does not mean that. The chip can output 100% Ok, will update the *state by calling get state() from .apply Yes, Correct. No, it is not the case. Sure. If BIT PWM EN ALWAYS is set, the PWM counter increments continuously. If not set, PWM counter will be disabled. There won't be PWM output unless BIT PWM EN ONCE is set. In that case it will generate single PWM cycle and stop. Ok. Will add that comment and also use div64 ul for division. Regarding the result, I don't think so it will be big enough to overflow read period. Sure, will add it. Will add an ""if"" check. Will fix this. Will change the sequence. Yes, currently there is no use. Thanks for the comments!",technical
,
"(adding some more people, please remember to run get maintainer.plto get the full list in the future)",technical
,
"Are you talking about the precondition?Because apei resources fini()  happens under the same condition check and if arch apei filter addr was false, it should not become true, all of a sudden. Or? Or does that function ptr get set in the meantime on your machine? I.e., this hackery: being called in pci mmcfg early init()...? Hmmm.",technical
,
"please take a look at the stacktrace. For some reason, and only at that specific hardware, the condition is false, there but later the indicated error exit is taken whose message you can see immediately before the stack trace. So this should documents the one observed case where the NULL deref is actually happening. Of course, it would be possible to develop another solution, but this one appears the simplest and safest to me (minimum changes to the logic). I have tested the patch on that specific hardware: I have verified that the patch does not trigger the NULL deref anymore. Of course, on any other hardware we have tested, the bug did not trigger at all. If you don't have that specific hardware, you probably cannot easily trigger / verify the problem. If you need access to the specific hardware, talk to me in a private conversation.",technical
,
"Yes, but if you say ""for some reason"",  then we still don't know what the root cause is. So before we do any fixing, let's find out what the problem is first. Can you pls run this debugging hunk on top of -rc6, on the box and send me full dmesg? Privately is fine too. Thx",technical
,
"Ah, I overlooked that commit e56c92565dfe2 is already providing a different solution to the same problem in newer kernels  only , as a side  effect (not clear to me from the description, but clear from reading the code). But this patch is not present at the 4.4.166 kernel where I found the problem and fixed it internally in a different way. The 4.4.166 code looks like this, without the if-statement you are mentioning, unconditionally trying to free the uninitialized variable under certain circumstances: So another alternative would be backporting to the 4.4 LTSseries. Also fine for me.",technical
,
"Damn, I missed the fact that this is not the upstream kernel: CPU: 0 PID: 1 UID: 0 Comm: swapper/0 Not tainted 4.4.0-ui18344.004-uiabi1-infong-amd64 #1That looks like the right fix. A note for the next time: do not send a fix for a stable kernel which is not upstream: From Documentation/process/stable-kernel-rules.rst:"" - It or an equivalent fix must already exist in Linus' tree (upstream).""The stable kernels track upstream so if a stable kernel has a problem, the first thing one needs to do is to check whether this has been fixed upstream and if so, to backport it. This is the case most of the time. In the very seldom cases where a separate fix is needed, it needs to be handled by asking Greg what to do. :-) Adding stable@ folks to CC to set me straight if I'm missing something.",technical
,
"Nope, you are correct, thanks!",technical
,
"There is no JESD85-B51.  I presume you mean JESD84-B51, but I can't find any reference to DMA in 6.6.39.  All the host controller relevant material seems to be in Annex B.  Can you clarify this reference?",technical
,
Please just fix the test to use the global object created for this purpose instead of an unnecessary on-stack instance. Thanks.,technical
,
"Avoid that the following+AD4 +AD4 is reported with object debugging enabled while running the selftest+AD4 +AD4 from, Please just fix the test to use the global object created for this purpose+AD4 instead of an unnecessary on-stack instance. I will do that. Thanks for the feedback.",technical
,
Do you mean ATF (ARM Trusted Firmware) instead?,technical
,
"TF-A is the name of the day for what was formerly known as ATF...However I don't think that it's correct to just don't cache the clock settings. Normally the secure world firmware should not change any clock settings at runtime, or it would run into all kinds of conflicts with the clock driver. So there are probably some well known points in time like a suspend or resume event when the firmware might change clock settings, so we could instead use those to trigger an explicit invalidate of the clock caches with much lower overhead. ",technical
,
