quotation,label
Hopefully someone more well versed in this domain can help figure out what is going on.,civil
"In the end, would be nice if these errors were caught and the users were notified of the GUI of what actions might be needed.",civil
Let's all be respectful.,civil
Take your foul mouthed trolling to Twitter.,civil
Find one that you are satisfied with and use it.,civil
Grow up and move along.,civil
I hate that these things never actually get fixed or resolved,civil
"We're having a real problem with this because ESLint ignores the .eslintrc.json file (due to some other bug in ESLint), and it breaks the build.",civil
I understand you're upset and this rule is causing problems for you.,civil
I've found that it helps to clearly describe the problem I'm encountering and propose some solutions or ask questions to understand the problem space better.,civil
I empathize with your frustration,civil
Life is too short,civil
"And the worst part is that I feel helpless to improve the situation. I vote, I campaign, I phone bank, I donate, I protest, I write to officials, I try to inform others... and yet things just keep getting worse and worse.",civil
Adding your political beliefs to your licensing is petty. The irony is that this very project is hosted on a resource owned by Microsoft...,civil
I'm not as familiar with the react code base (clearly from my comments) but if there's anything you need help on to get this going let me know,civil
They haven't commented on any of the related issues and they've been open for months.,civil
" @_ing from the react team to get some on this? Seems to be quite a lot of interest, but not a single issue on this topic has received a comment from a maintainer in 5 months.",civil
"Just wanted to chime in and say I strongly feel the same way - it would be at least good to get a hey we won't be considering this"".""",civil
I know this wasn't your intention,civil
I'm really feeling stupid for not being able to figure this one out :(,civil
"Though I am confident that my analysis is decent enough, much of the code I was referencing was unfamiliar/new to me.",civil
"I'm not experienced that, but I'll use it for a while to see what happens.",civil
"If I'm misunderstanding what is being requested here, please let me know.",civil
"And this whole text could be avoided if you guys simple had said:  yeah that was a bad idea, i will try to put your suggestion in a next changelog or add some tool to convert json/xml then json/plist and any other technology RC lays on""""",civil
It would be nice to have shift+insert or Ctrl+shift+insert to have a linux like feeling or ctrl+shift+c and ctrl+shift+v like powershell does,civil
I apologise if I've misread any of the code.,civil
feel free to point out what I said that was even remotely an attack on *anyone* or an assumption of motivations?,civil
"I shouldn't have even posted the above, but I couldn't resist throwing my two cents in - sorry!",civil
"I worry about the racial discrimination have happened in US from long time ago to recent as a human being, while I also insist to regard `blacklist, whitelist, blackbox testing, whitebox testing, master, slave, etc` to be neutral nouns in `IT area` as a software engineer.",civil
"Indeed, that shows my attitude about racial discrimination and mercy about people who suffer from brutality all around the world.",civil
"Don't let word game anesthetize us, If everyone pays attention, discrimination will slowly disappear, but if we pretend that it has disappeared now, it may exist forever, The more one tries to hide, the more one is exposed.",civil
"Whatever your strategic decision for Godot is, it's totally legit. I'm here only to defend bgfx from false statements.",civil
"Imploring maintainers of an open source software is not going to yield the best results, I think.",civil
Don't forget about those instagals! :dancer:,civil
stop trying to read the motivations of someone you don't know.,civil
"I'm happy to keep the discussion going, so don't take this as a negative sign.",civil
"Follow the steps and put this script tag in the head tag. I'm not sure what else Yandex needs, but this is generally how google adsense works.",civil
we want to also be kind in how we request help from the core maintainers of Gatsby.,civil
"Try to push the cause in Seattle ,)",civil
there is a lot of politics behind all these huge software/hardware infrastructures... :-(,civil
"By soon"", do you mean before ______? ( _insert funny sarcasm here_ ).""",civil
"I do hope they are working on a hip backend, not a full fork. That would be sad and only split the working effort.",civil
"Sorry if the above came out sounding rude, just trying to clarify my position above!",civil
This is not Twitter or your Facebook wall... :-),civil
I'm very sad about the abandon of GPU support for macOS.,civil
Using GPU acceleration locally on my MacBook Pro or future iMac Pro would be awesome.,civil
"(yeah, the syntax looks like some sort of incantations or something ,-))",civil
"Sorry, nevermind. I made a mess out of it :D. My config was not in order,",civil
I'm not a Webpack guru myself,civil
"So many different solutions, so many different workable options, yet none of them helped me in the past 3 hours getting bootstrap up and running...",civil
stop wasting our time.,civil
This is the worst framework i have ever seen.,civil
"I have real project with Angular, and the only thing i get while developing - is the hurting. Tons of hurt i get.",civil
when you deal with real big scale project - the hurt is the only thing you get.,civil
Go home,civil
Let's not make the person who runs a massive open source project almost by himself job harder than it needs to be,civil
"I read you... I am a Software Engineer, I am that senior level guy you speak of... I have cried out Angular pains in the past.",civil
"So, sorry I don't have small debate points and I don't blame you for having your point of view.",civil
"I feel your points. They burn us, too.",civil
My hope is that the team gets back to productive boosting features as soon as the dirty plumbing is done. And no need for another major rewrite (Router4?),civil
I hope in the future Angular will become even better and easier to understand.,civil
I will step away and unfollow understanding how my mouth often gets me in trouble.,civil
"make sure that even if using `vh`/`vw` etc, that there's a component for font sizing tied to something else like `px`/`rem`/`em`.",civil
I am really sorry if I break any rules.,civil
I'm struggling about passive reaction of Flutter team.,civil
"feel misled because everything I first saw on homepage etc, promised 60 FPS and native performance. I think its bordering on unethical to not make this problem clearly known to new developers.",civil
"I wish it was paid so we would not get the its free, whatever you get be happy response.",civil
At least we would not get a 100 line code commit after 1 year on such a huge issue.,civil
So there's nothing concrete that's being done yet?,civil
"Are there really users that like to keep tabs only on specific parts, like indent?",civil
I'd like to voice my displeasure towards two trends going on in Visual Studio editor since VS 2015,civil
"Finally, I'd appreciate if there was some workaround for this spaces instead of tabs issue, it's driving me nuts.",civil
Shouldn't the above satisfy everyone involved?,civil
"Maybe that is somehow my fault because English is not my primary language and what I wrote is hard to understand, but in all honesty I am not sure what are you arguing for (or against).",civil
I am really surprised to hear that something like that cannot be done while still keeping all current options.,civil
I'm happy to clarify any of my points.,civil
If you'd like another venue to discuss things (perhaps in realtime) I'm also happy to use gitter or discord to continue the discussion :),civil
"it may be what you want, but it may be wrong for other users complaining about something similar.",civil
I certain see how it can be a bug.,civil
"Unfortunately though, we've now had this new system a long time, and we are wary about subjecting people to more potential changes in behavior, esp. as it might fix this issue, only to cause problems for others :-/",civil
"I don't disagree with that, but there seems to be great resistance to even acknowlege that the behaviour has changed at some point, and that it doesn't seem correct, from a users point of view, that selecting **Always keep TABs** means **Always keep TABs except sometimes they will be changed to spaces**",civil
"I don't disagree with that,",civil
"If i've missed any points, i apologize.",civil
"There's a lot being discussed here, and i likely missed it.",civil
I totally get that that can be frustrating.,civil
"A group of people (that you are not a part of) is having their needs met, while yours are not.",civil
"However, this really is a space where potential changes risk very bad outcomes for many groups.",civil
"Again, I'm happy to help clarify any of my statements, or address any points i may have missed.",civil
I apologize for being rude,civil
"At this point I am discouraged to report more because nothing ever seems to get fixed (usually because it's complicated"").""",civil
"I hope you prove me wrong and actually fix this issue, but I won't be holding my breath.",civil
I apologize in advance for the offtopic,civil
"It is, lets say, disappointing that it sounds like Microsoft can't maintain it's code because it is too complex.",civil
"If you just told me that this shouldn't be addressed because I was a nobody and my opinion wasn't important, I'd be annoyed, certainly, but overall less concerned.",civil
change the example,civil
give keybox to me now,civil
"roll your own, pick another technology, or pay the bill.",civil
This makes it harder for newcomers to learn aspnet core without the support from the community or microsoft officially,civil
"If you want to give us feedback on the pricing and explain your situation, this is not the right place to do that.",civil
I completely get that the IS devs neeed more money and want to be paid.,civil
I'm disappointed that such a basic functionality now requires lots of unplanned work and time.,civil
That's really sad.,civil
I'm not the guy who can actually judge what you're doing and why,civil
"somehow like the whole OpenSource-Idea, no? ,)",civil
"One must learn to pick his fights, so to speak. :)",civil
I'm sorry for any distress this experience has caused you.,civil
"This feature should not be default, this should remain optional until all supported browsers handle it.",civil
please correct me if my assumption was incorrect,civil
"I believe that, in this case, inclusive"" means ~""how welcome someone ***feels*** in the angular community."" The poster is _telling us_ that, in at least one case, someone doesn't feel like the angular community is inclusive.""",civil
"It also makes clear that, as a community, we do care about how welcome people feel and our issue is not with the _intent_ of the original post (to be more inclusive and thoughtful), but rather the execution.",civil
"this seems to boil down to what percentage of the community/potential community might interpret `ng` as a slur.""""",civil
bolster their suggestion by providing more examples or reasons why the interpretation the girl had is actually generally applicable.,civil
"If I were evaluating this issue, I wouldn't care how many people interpret `ng-repeat` the way I intended, I'm interested in how many people interpret `ng-repeat` the way I *didn't* intend.",civil
"Because of this, this issue strikes me as providing valuable feedback and I would encourage people to surface similar experiences that they may have had.",civil
I'm sorry to hear about your experience and I understand the sensitivity of your concern.,civil
Let us take some time to consider your request and respond in a mindful way.,civil
It was never our intention,civil
we will be very mindful of this problem when creating future APIs,civil
"We the Angular team, strongly believe in building an inclusive community where everyone feels welcome, and we see how especially ng-repeat could be problematic in certain scenarios.",civil
Did you dislike the idea of solving it via a tickable option in the Options window?,civil
"If the idea of putting it in the Options window is rejected, then I'm trying to brainstorm an alternative solution",civil
"I personally don't feel like it's worth fixing myself, but i'd be happy to help you with a PR to change if it is something that is affecting you.",civil
Two minds being better than one and all that :),civil
"If that changes in the future, let me know.",civil
My offers of assistance seem to not be welcome,civil
It'd be great if a future version of Windows Terminal baked this in by default across all shells - it's really useful to have,civil
You can squint and imagine a merged feature that serves all the scenarios.,civil
It is very disappointed,civil
I've started thinking that Microsoft consider community opinion ... I am very disappointed,civil
I think to make right decision for this feature is to create a poll and ask people will they use this feature and would not be it annoying that exist two solutions: static methods and free functions ...,civil
And that's also normal that people who against it would like to have more acceptable reasoning or possibility of rethinking,civil
"when I say stop with ... I really mean that _we're the ones responsible, at the end of the day._ Sorry about that, it sounded bad on a re-read.",civil
a few people have been asking me today about pip install 32 bit tensorflow support.,civil
Having the same problem here. Would really appreciate a fix,civil
then I am going to stop supporting Tensoeflow.,civil
"We would appreciate a python 32bit fix, some distros install python 32 bit by default and there's no way around it",civil
A lot of my clients asking for this too. would appreciate a fix,civil
another one just asked me for a fix -_-,civil
more people have asked me private for a fix today,civil
Don't underestimate how difficult things like this are from a theoretical perspective.,civil
Lots of people here manage to be constructive and positive and I'd appreciate your effort in not starting fights with us or other contributors.,civil
Go and learn some manners!,civil
"I've read about observable something, but why would I use the whole framework if I had to use another framework and do my own implementation?",civil
If they make fool of me it's not my fault,civil
"So this means the whole framework is unpolished, untested and lazy coded.",civil
clearly you are feeling frustrated and angry right now. I can understand how that can happen.,civil
It is important that we work constructively to solve our problems and not resort to insults.,civil
I'm very sorry if this will cause you to leave Godot.,civil
"I understand that some black people may not consider these terms offensive, but I would rather someone not want to work with me because they think I am too politically correct than because they think I am too insensitive and blind.",civil
"Of course, if you @trivikr personally feel strongly about this then I support you :]",civil
"If there's another way for this to work, I'm open to alternate ideas, but I think conditionally playbook imports would be generically useful.",civil
Please use the‘  button to let the maintainers know you need this feature. Getting a ton of emails from these +1s.,civil
I think you have a legitimate concern and I'm sorry if you feel like I'm ignoring you.,civil
I think you have a legitimate concern and I'm sorry if you feel like I'm ignoring you.,civil
"do not you think that simply stating that I 'messed up writers"" ' without explaining why is rude?""",civil
"Look again, the name isn't Maui, the name is Multi-platform App UI which abbreviates to M.A.U.I.",civil
I hope this is not Microsoft's general attitude towards open source projects these days...,civil
"bro I am an Open Source author and maintainer so don't try lecturing me about being against off-putting towards the open-source community""""",civil
"That's not because others really love .NET, but because they try to stay constructive here.",civil
MauiKit whether you want to hear it or not has no fundamentals of what I as an Open Source Author and Maintainer would consider signs of a healthy project.,civil
"We are talking about open source projects, there should be a common philosophy, not a competition for those who have the biggest issue counter.",civil
"Sorry if I sounded harsh, that wasn't my intent.",civil
"To be honest, this entire thread so far makes me far less inclined to introduce a dependency on the enterprise project.",civil
will have to move to a real open source tool like JMeter instead of gatling.  Sad.,civil
We are really sorry to hear this.,civil
Don't be so agitated,civil
For best outcome please consider writing your messages mindfully and calmly explaining both your problem and what is the suggested resolution or expectation for it.,civil
"My sincere apologies.  I was in the wrong, and I've done you harm.  I'm sorry.",civil
"Alex, sorry, I had gathered that you're recognized as the principle Windows maintainer. I didn't mean to invent a title.",civil
"Well, I'm sorry for having been slightly edgy due to the total irrelevance of that statement with which he accompanies the news that he unblocked me.",civil
"Let's be clear - you're telling *me* that I don't credit trade-offs or drawbacks, on a project I maintain, for a protocol that was designed a year ago, and for which noone has reported any automated breakage of any system, while still being able to migrate at the time of their choice.",civil
It's also been frustrating to be treated as a troll when I was called entitled but responded with a compliment.,civil
It was frustrating to see my point be misinterpreted as something else.,civil
"I'm sorry if you felt your concern wasn't taken into consideration, I think it's simply because you believe, as you said, making future decisions based on trust is a mistake"", while other people may not (I don't).""",civil
Think about that.,civil
"I read some thoughtful and reasonable responses in this thread, and I understand how everyone has their point of view.",civil
Stop whining about that and remove the BLM from the site.,civil
grow some thicker skin and calm down.,civil
"As a side note, the kind of errors hit by the users on the thread of this issue (lack of basic knowledge of Python for instance) tells me that we cannot solve their problem.",civil
"He, being one of the top contributors to scikit-learn has to make tough decisions as to what will go into our codebase and what will not, as a more verbose documentation or tutorial might not be preferable for a lot of people.",civil
"we understand your eagerness to solve your problem, and your frustration when it is not solved.",civil
I am very new in scikit-learn.,civil
I will be highly appreciated any useful advice.,civil
"Sorry if this issue seems a bit salty, but it's really annoying",civil
I just lost hours worth of state because of this behavior.,civil
Just having automatic updates install upon next launch would be a perfectly fine behavior,civil
Unfortunately I am going to have to abandon it until this issue is fixed because I'm losing a lot of time and work every other week when an update is pushed and my long-running processes are lost.,civil
Don't act on theories!,civil
This is the second or third time I've been screwed over by Microsoft's shitty installation practices.,civil
The grass isn't greener on the other side...,civil
"To be fair, @jeremylt, the 300hrs estimate was quite demotivating for me when I started.",civil
"I don't believe anything I've said could fairly be labeled mansplaining, but I am sorry that I was curt",civil
"This mistake is still haunting us years later, unfortunately.",civil
It's sad that I have to use such a long winded approach to try and defend its future and get certain parts of Microsoft to cooperate with other parts.,civil
Replace the template text and remove irrelevant text as the instruction says.,civil
"I think it is more important that the main developer of Vim can concentrate on enhancing and improving Vim instead of having to change a workflow, that has been proven to be working well for the past 30 years.",civil
"My words were met by defensiveness, ego, stubbornness, ignorance, and delusion.",civil
Starting a reply with the conversation is already over is not okay.,civil
"Check out the web service to see how they want you to do it. If it's your own server, set it up properly.",civil
"Make up your mind, updater…",civil
Have patience,civil
doesn't hurt to be polite.,civil
"fork it, fix it, make a pull request and contribute.",civil
It seems here that Microsoft is taking an active approach to kill VB actively (as opposed to passive approach - just let it die by abandoning it). :-(,civil
I probably shouldn't make any more PR as they will fail.,civil
"I feel my time creating that PR was wasted, so not rewarding, hence I'll think twice before making another PR.",civil
"I feel my time creating that PR was wasted, so not rewarding, hence I'll think twice before making another PR.",civil
I'm sorry I don't have much time for other things beside work and family.,civil
I didn't realize a 4 line PR would pull me into a discussion on how to improve it by implementing a new code base and consequently figure why shippable would fail.,civil
I didn't realize a 4 line PR would pull me into a discussion on how to improve it by implementing a new code base and consequently figure why shippable would fail.,civil
"Feel free do whatever you see fit, I'm off to other things, good luck & sorry for the noise.",civil
"Feel free do whatever you see fit, I'm off to other things, good luck & sorry for the noise.",civil
"I think it really has to do with time of day, traffic, alignment of the planets, etc.",civil
Sooooooooooooooo slowly :(,civil
My apologies for the frustration this issue has caused.,civil
It would be helpful if you could benchmark this with curl for reference.,civil
"i wish Salt guys put the comments inside this source, listing all the bugs related to this module.",civil
i made quite many changes in that mounts.py - and now i am thinking about undoing almost all of them... Lack of any documentation...,civil
"See... i know very little about Linux and nothing about Python, so i was googling everything i could think of :-)",civil
it is sad how fast you were to say Salt is all wrong and how protective you fet about OMV.,civil
Our customers have complained after opening the application for the first time :(,civil
Disappointing that this is not being considered high priority.,civil
"Honestly, this issue made me re-consider of cross-platform frameworks being owned by the same company (Google here) will be supported at best, and ignoring quality metrics delivery on other platforms (iOS).",civil
The project needs lifesaving measures as it's community is dissatisfied enough to be discussing forks.,civil
"Issues where opened and closed by the bot without any reponse, and nobody but you can do some critical things (merging pull requests, publishing fixes...).",civil
"I hope people keep that vision in mind, when considering the near-term goals like providing prompt feedback directly on GitHub discussions, quick resolution for user-contributed PRs, maintenance releases etc.",civil
I do continue to feel pretty disappointed that the active project ownership that is so badly is still not coming in the near term.,civil
I agree your mind but really sad about results...  :-|,civil
"PS : sorry for my poor english, frenchies are really bad with it :-)",civil
"I love you Jack, for making SUI. I just hope you dont get crazy <3",civil
At the same time I must mention one thing: **you will not succeed on your own**.,civil
In that regard I find it highly confusing - and disrespectful imho - that you chose to ignore all suggestions to delegate power to trusted contributors who would like to help you to maintain SUI 2.x.,civil
"PS: You will still be the captain ,)",civil
"If you're just going to hack around with low level packets, then just use netty and don't bother us when things break.",civil
"I understand that it won't be accepted, I'm not contesting that.",civil
be kind,civil
"As a consumer of your product, I expect it to work as advertised",civil
"So our apologies if some things take too long, or don't end up happening",civil
but it's wrong to blame the maintainers for this.,civil
Well I'm having trouble making a reproducer for this.,civil
it would be great if there was a built-in way to paginate a list Jekyll collection items on a page.,civil
it would be nice if there was a built in pagniation that worked for both post and collection items.,civil
would like to see Nested Collections.,civil
I would like to see [reading metadata in separate files],civil
I would like to see the tags of collections included in site.tags.,civil
build in support for content blocks and components,civil
I'd very much love to have native support for Coffeescript in much the same manner as Sass.,civil
"it would be great to have more interactions with github, like pulling profile information (contributions, avatar, ), releases data - and convert it for proper publication.",civil
I would like to see an automated tool like Webpack integrated into Jekyll to handle Sass and Javascript.,civil
I'd love to see Docker volume mounts work with Jekyll and Docker for Windows.,civil
I would love to see an offically supported page generator from data files.,civil
Make internal linking easier.,civil
Dont work with fb and google,civil
This is not the level of security awareness I expect Microsoft to have.,civil
work with your security teams to get the uploader qualified by at least the major vendors,civil
A company that does not understand the need of a full doc do not will offer a serious support in the long time,civil
Close this issue,civil
"It would be nice to at least give an explanation before just closing an issue, this way nothing will get resolved,",civil
"It would be nice to at least give an explanation before just closing an issue, this way nothing will get resolved,",civil
Wondering if Terminal users are mentally prepared to such amount of social activity in their lives.. switching from 0 social life to this directly might be... Overwhelming,civil
"It's a fun-take and I wanted to upvote it for the fun part, but then I thought it may send the wrong message so I had to downvote it, just to not confuse newcomers. ,)",civil
"The removal of the santa hat, and kowtowing to a fake user, is incredibly offensive to me.",civil
"When I updated my VSCode, it was gone.",civil
If you don't do it I'll feel sad and disappointed.,civil
I'm deeply sorry for my insensitivity.,civil
Bring back the Santa's hat!,civil
"I liked the santa hat, it brought a little joy to my day. Very sad that it has been removed.",civil
bring the hat back,civil
Bring back the hat.,civil
Put a satan hat back.,civil
add a Satan Hat!,civil
"Assuming he was trolling: troll successful, gg",civil
"I'm also not happy that the santa hat was removed, completely ignoring the public opinion here on GH.",civil
"I def understand how frustrated you are, but every new platform has its shares of issues and stability.",civil
"I understand you're frustrated, but having a positive attitude, even when you're stressed out or frustrated speaks volumes to others who are genuinely trying to help.",civil
"Instead, when are you going to add REAL support for streaming??",civil
"I'm almost 40, and I bet I'm gonna die BEFORE you even get the idea to implement all of this!!! Pfffff...............",civil
that is painful,civil
Embrace the patterns of the npm ecosystem.,civil
Could you show me how to resolve this issue please?,civil
fork lerna and do it yourself.,civil
what a waste of time.,civil
"We are talking things technically, don't make it personal.",civil
Calm down,civil
"If you feel disrespect on nasty"", I apologize.""",civil
