thread_id,quotation,email_final_code
289026,"Try to look at previous discussions why it has been decided to have a separate hugetlb pages at all.. I've asked in other email so I guess I will get an answer there but let me just emphasize again that I absolutely detest a possibility to put hugetlb pages into the memcg mix.. This all looks so hackish and ad-hoc that I would be tempted to give it an outright nack, but let's here more about why do we need this fiddling at all.. I am also quite confused why you keep distinguishing surplus hugetlb pages from regular preallocated ones.. As you said, it must be an alien.. Thanks to the interaction up to here, I understood that my solution is inappropriate. I will look for another way.. Could you explain what you were concerned about?. It would be greatly appreciated if you could mention why we can not charge surplus hugepages to memcg.. I will completely apologize if my way of thinking is wrong.. I apologize for having confused.. So I would argue that you have quite a good knowlege of the setup. If you need a greater flexibility then just do not use hugetlb at all and rely on THP.. I am sorry that I didn't join the discussion for the previous version but time just didn't allow that. So sorry if I am repeating something already sorted out.. My cgroup experience and knowledge is extremely limited, but it does not appear that any other resource can be controlled by multiple controllers.. It would be good to get comments from people more cgroup knowledgeable, and especially from those involved in the decision to do separate hugetlb control.. I could not understand the intention of this question, sorry.",1
289431,"I'm not sure I understand what you intend here.. I'm fine with either approach.. Where did this come from? XFS doesn't use the underlying blockdev address space, so this does nothing at all and should not be here.. Where did this come from? XFS doesn't use the underlying blockdev address space, so this does nothing at all and should not be here.",1
303621,I never said we were perfect reviewers. Feel free to help in the process.. The SPDX header is explicitly here to remove the license text and create a tag that is in a indirect reference to the license text in LICENSES. It's not going away.,1
306145,Your email client should not be forcing you to top post. So please don't.. But you did it again..... Your email client should not be forcing you to top post. So please don't.. wrap your lines at around 75 characters,1
307410,"Oops, sorry, I double posted patch 5.. If you have a better way to fix this, I'd be glad to hear it.. What you didn't notice is that split_remote() separates the colon whether there is a host or not. It's not passed to ssh or cat (or whatever) directly. So the change you propose will actually break the how it was designed.. So the change you propose will actually break the how it was designed.",1
310967,Making a non-fatal error fatal doesn't serve a useful purpose.. There are no unexpected results.,1
314071,"So I'm certainly in favor of this patch landing in mainline, but you should be aware that there may be some opposition to it.",0
331266,"This is an RFC series, it's not meant for you to take at this point,it's about discussing the overall approach to exposing BMC random tunables"" as explained in patch 0 of the series."". you need to document the heck out of this in the changelog to help explain all of these odd design decisions.. you need to document the heck out of this in the change log to help explain all of these odd design decisions.. If you do, that's a huge hint something is wrong here.. Oh come on, putting a basic here is what this patch does comment should be part of every patch otherwise what is there to comment on if we don't know what is going on in the patch itself?. Why are you messing around with raw ""kobject attributes?"". You can just read the patch which is... the documentation :). Why are you messing around with raw ""kobject attributes?"". This is a device, you should never have to mess with sysfs calls or kobject calls or structures directly.. You can just read the patch which is... the documentation :). What is this crazy union for?. That's an oddly-hard-coded array size for no good reason :(. What is this crazy union for?. I can't take patches without any changelog text at all :(",1
336834,You grow that structure from 64 bytes to 96 bytes and with that grow the static footprint of the kernel by 512k (in the very best case) possibly again breaking things like sparc (which have a strict limit on the kernel image size).. It's likely because you infer about certain aspects which are not clearly stated in the deadlock report.. You likely also infer about the order of consuming the locks based on the contents of the stack dump associated to each lock.. You likely also infer about the order of consuming the locks based on the contents of the stack dump associated to each lock.. I still hope that I can get some feedback from community regarding the actual cpufreq-related issue pointed out in the splat.. And all that for data that I've never needed and never even considered useful when looking at lockdep output.. It's likely because you infer about certain aspects which are not clearly stated in the deadlock report.,1
346223,"In other words, I'm trying to understand how much benefit this patchset will provide to our users as a whole.",0
347183,"Hopefully I'm not missing anything here, but this doesn't really make any sense. I'm not sure I explained myself as well as I thought I did.. First of all, I was mistaken when I wrote above that a check for !drm_kms_helper_is_poll_worker() would solve the problem.  Sorry!. First of all, I was mistaken when I wrote above that a check for !drm_kms_helper_is_poll_worker() would solve the problem.  Sorry!. phew. that took a LONG time to come up with.. As for whether or not this patch is even the right solution, I will need to confirm that tommorrow (if you don't think it is still, please feel free to say so!) because it's getting late here.. As for whether or not this patch is even the right solution, I will need to confirm that tommorrow (if you don't think it is still, please feel free to say so!) because it's getting late here.. Hopefully I explained that better this time, I'll definitely make sure to actually include that diagram in the patch.. Turns out I was missing a couple of parts, so I'm going to try again at explaining this using a diagram that shows the various threads running concurrently. To behonest, I had to double check this about literally 20 times to make sure I was actually understanding this issue correctly.",0
358863,"So all these return -E..."" in the instances are completely pointless. Furthermore, who the hell cares which callback has stepped into it?. The first time it happened from getdents(2) in a 32bit process and that's all you'll ever get out of me"" seems to be less than helpful...""",1
365796,"Your control-bank-cfg seemed like having much room for improvement, and it would for sure raise questions on why it was implemented that way.. Just a blind shot, without going into details - could you please check if led-sources property documented in the common LED bindings couldn't help here?. This is better than my proposal.. Don't see how you could compute this.",1
368515,"I welcome this feature, been wanting it for some time now.. Having a CODE_PAGE_SIZE is therefore useful. I am happy adding it on top on your proposal.",0
372597,"Please fix this, email a test patch to yourself, and do not resend the patch to this mailing list until you can successfully extract and cleanly apply the test patch you email to yourself.",1
374095,Good find! I'll queue this for the next fixes-pull-request.,0
377230,"FWIW, can you post the actual profile you are seeing in the commit message? That helps us identify similar problems in the future, and it lets us know what paths are leading to the transaction reservation contention. i.e. this may not even be a problem with the transaction reservation code itself.. Thanks for your detailed review of the patch. I now have a better understanding of what should and shouldn't be done.",0
378505,"Again I'll ask: what is the performance when the log is made large enough that your benchmark is *not hammering the slow path*?. Can you please re-run and report the results for each patch on the ramdisk setup? And, please, include the mkfs.xfs or xfs_info output for the ramdisk filesystem so I can see /exactly/ how much concurrency the filesystems are providing to the benchmark you are running.",1
379138,I like the idea and I think it's good direction to go,0
383199,"Also, all your patches have the whitespace turned from tabs into spaces, making them impossible to be applied even if I wanted to :)",1
390394,"Sorry but I don't like imposing a run-time check on everybody when stack-based requests are the odd ones out.  If we're going to make this a run-time check (I'd much prefer a compile-time check, but I understand that this may involve too much churn), then please do it for stack-based request users only.",0
391895,"You gloss over a ton of details here, many of which are non trivial and marked broken in your patches.. All in all, I'm not inclined to consider this approach, it complicates an already overly complicated thing (cpu-cgroups) and has a ton of unresolved issues while at the same time it doesn't (and cannot) meet the goal it was made for.. Have you actually read your own code?. Have you actually read your own code?. Unless you have solid suggestions on how to deal with all of them, this is a complete non-starter.. Unless you have solid suggestions on how to deal with all of them, this is a complete non-starter.. Now explain to me how you're going to gang-schedule a VM with a good number of vCPU threads (say spanning a number of nodes) and preserving the rest of CFS without it turning into a massive trainwreck?. That is the whole and only reason you did this, and it doesn't even begin to cover the requirements for it.. There are known scalability problems with the existing cgroup muck, you just made things a ton worse.. There are known scalability problems with the existing cgroup muck, you just made things a ton worse.. I'll beg to differ, this isn't anywhere near something to consider merging.. Just because you find one example, where it is a bad idea, doesn't make it a bad thing in general.. You don't even begin to outline how you preserve smp - nice fairness.. That is the whole and only reason you did this, and it doesn't even begin to cover the requirements for it.. Even if you're not inclined -- at this stage, if I may be so bold :) --your feedback is valuable. Thank you for that.. I am happy to do any further debugging I can do, or try patches on top of those posted on the mailing list.. And then people will complain again that partitioning a system isn't dynamic enough and we need magic :/. Even if you're not inclined -- at this stage, if I may be so bold :). Bye bye interactivity. That is, what I call intrusive.. Do you believe me now, that L1TF is not the whole and only reason"" I did this? :D"". Mm... there is certainly room for interpretation. :)",1
399771,"How can you set a shared variable with no synchronization ? A bool is particularly dangerous here, at least on some arches.. Do not pave the way for future bugs, make your code robust, please.. Your patch adds a subtle possibility of future bugs, even if it runs fine today.",1
402510,"Note instead the time lapse between this and previous posting of the series, and if you want to assume something, assume things can get missed and forgotten without intent or malice.. You are assuming my actions and motivations and constructing a story.. Well it's not a pony, it is mechanism to avoid having to turn off all security. We can hopefully discuss it without ponies.. Sure, but you also used the word pile and I would argue that made the rest of your sentence  after and including ""instead""  sound like it not only bothers you I forgot to Cc people on the cover letter  but it also bothers you I included a ""pile"" of my own addresses. If that wasn't your intention in the slightest then I apologise for misreading it.. I was trying to guess your reasoning (cues in presumably and a lot of question marks) since it wasn't clear to me why is your position what it is.. I did not say at all that this might be diminishing security. And the argumentation with 'incompetent sysadmins' is just the wrong attitude.. If you can't explain and document it, then providing the knob is just fulfilling somebodys 'I want a pony' request.. Note instead the time lapse between this and previous posting of the series, and if you want to assume something, assume things can get missed and forgotten without intent or malice.. If you want to make a pettifogger contest out of this discussion, then we can stop right here.. We can hopefully discuss it without ponies.. I did not say that you mentioned google. But what is a sysadmin supposed to do when there is no documentation aside of using google? And not having documentation is basically the same thing as telling them to use google.. Guessing my reasonings has nothing to do with you mentioning incompentent sysadmins.. I explained it technically why just adding a knob without further explanation and analysis is not acceptable.. Ah only if google could simply answer all our questions!. It's not like there is or isn't a security risk and that you can say that it is or it isn't in a global way.. I said clearly that I'm not opposed against making it configurable. But because there is no single answer, it's even more important to have proper documentation. And that's all I'm asking for aside of making it opt-in instead of a wholesale expose everything approach.. You cannot expect that even competent sysadmins know offhand what which PMU might expose. And telling them 'Use Google' is just not the right thing to do.. You cannot expect that even competent sysadmins know offhand what which PMU might expose. And telling them 'Use Google' is just not the right thing to do.. Presumably you see adding fine grained control as diminishing the overall security rather than raising it? Could you explain why?. Sure, and because you don't know you didn't bother to ask around and ignored the review request.. Sure, and because you don't know you didn't bother to ask around and ignored the review request.. I accept it was by bad to miss adding Cc's on the cover letter,. It would be very helpful if you cc all involved people on the cover letter instead of just cc'ing your own pile of email addresses.. It would be very helpful if you cc all involved people on the cover letter instead of just cc'ing your own pile of email addresses.. This is really not helpful. The cover letter and the change logs should contain a summary of that discussion and a proper justification of the proposed change. Just saying 'sys admins might want to allow' is not useful at all, it's yet another 'I want a pony' thing.. my own email addresses hopefully should not bother you.. Just throwing magic knobs at sysadmins and then saying 'its their problem to figure it out' is not acceptable.. Just saying 'sysadmins might want to allow' is not useful at all, it's yet another 'I want a pony' thing.. You can add as many of yours as you want as long as everybody else is cc'ed.. All of this want's a proper documentation clearly explaining the risks and scope of these knobs per PMU.",1
410867,"Look, reviewing these are pretty stressful for me, because you aren't documenting your changes and in many cases the transformations look incorrect.. Please double check your work and resubmit this at some time in the not-too-near future.",1
422694,"The big question is why you did not stop to think and consider the context?. The big question is why you did not stop to think and consider the context?. Yes, I'm annoyed by mindless changes. Especially mindless changes aimed at improving readability while in fact making things less readable.. TL,DR, if you are desperate to fix the problem with this fall through comment  please do so in a way that preserves overall readability.. it would be nice to not blame the existing code for brain damage in GCC and various other static analyzers.. blaming the existing comment for not *properly* marking an intentional fall through is ... rich.. It would have been so damn easy and it does not take a whole lot of imagination to quiet down GCC while keeping the comments readable.. Considering the above added context, I have to say that this mindless change is not an improvement, as you have just destroyed the continued sentence from the previous comment.. The big question is why you did not stop to think and consider the context?. What is not proper about the existing comment? Yes yes  I *know* that GCC is not very intelligent about it and requires hand-holding  but blaming the existing comment for not *properly* marking an intentional fall through is ... rich."" . Considering the above added context, I have to say that this mindless change is not an improvement, as you have just destroyed the continued sentence from the previous comment.",1
424089,"What the heck does __visible do?. Certainly, byte-at-a-time is a pretty lame implementation when the addresses are suitably aligned.. But I'm wondering who is actually using this code!",1
431048,There seems to be a disconnect between what I am trying to communicate and what I perceive you to have understood.. I'll add comments below to try to make more clear what I'm trying to say.,0
467091,"But right now, you're telling me that we need to split the DW driver to prepare for features that have not even been discussed/proposed. That's what I'm complaining about.. If you were adding support for slaves, and were doing this split as part of this patch series explaining that part of the code between slave and master can be shared, then we wouldn't have this debate.. If you were adding support for slaves, and were doing this split as part of this patch series explaining that part of the code between slave and master can be shared, then we wouldn't have this debate.. But right now, you're telling me that we need to split the DW driver to prepare for features that have not even been discussed/proposed. That's what I'm complaining about.. Come on! All I've seen so far are complaints on tiny details, it definitely doesn't prevent you from adding new features.. I think you didn't read my reply carefully. I'm not saying I3C == USB, I'm just saying that the way you interact with an I3C from a SW PoV is not at all the same as you would do for an I2C device. Do you deny that?. I think this discussion is starting to be counterproductive with arguing of both parts. Unfortunately I don't see anyone given their inputs too.. I'm not saying I'm always right, but I need to understand the problems you're trying to solve to take a decision, and I don't think you initially gave all the details I needed to understand your PoV.",1
476403,"So I strongly disagree with this. Anybody that has trouble with 0/1 vs false/true needs to stay the heck away from C.. I would suggest we delete that stupid coccinelle scripts that generates these pointless warns.. I would suggest we delete that stupid coccinelle scripts that generates these pointless warns.. Not to mention that WARN is gramatically incorrect. We're not assigning 'bool' to 0/1 but the other way around. What crap... Not to mention that WARN is gramatically incorrect. We're not assigning 'bool' to 0/1 but the other way around. What crap... The kernel is not the place to try and abstract such stuff, C is our portable assembler. We muck with hardware, we'd better know how the heck it works.",1
482005,Note that this patch does *not* remove the nasty trap caused by the garbage in question - struct file can be freed before we even return from->unlocked_ioctl().  Could you describe in details the desired behaviour of this interface?. Note that this patch does *not* remove the nasty trap caused by the garbage in question - struct file can be freed before we even return from->unlocked_ioctl().  Could you describe in details the desired behaviour of this interface?,1
498594,"If you want to provide more accurate documentation then you better come up with something which is helpful instead of completely useless blurb like the below. If you want to provide more accurate documentation then you better come up with something which is helpful instead of completely useless blurb like the below. If you want to provide more accurate documentation then you better come up with something which is helpful instead of completely useless blurb like the below. Actually, I still call it a lie. Document clearly says that bug is fixed in non-virtualized cases, when in fact it depends on PAE and limited memory.. At this point I want you to fix it yourself.. You called it a lie from the very beginning or what do you think made me tell you that?. Lying about security bugs being fixed when they are not is not cool. I tried to be helpful and submit a patch, but I don't feel like you are cooperating on getting the patch applied.. You called it a lie from the very beginning or what do you think made me tell you that?. I would really like to get an ack from the people who have been deep into this first.. Calling this a lie is a completly unjustified personal attack on those who spent quite a lot of time on writing up documentation in the first place. It's suggesting that this document was written with malicious intent and the purpose of deceiving someone.. Sorry, that we weren't able to live up to your high standards.. Care to explain why you are assuming this to be the case?. Take a care to look at the patch I submitted? Lie:# A system with an up to date kernel is protected against attacks from # malicious user space applications. 3GB system running 32bit kernel is not protected. Same is true for for really big 64bit systems.. Care to tell what's a lie instead of making bold statements?. So how should it be called? I initally used less strong words, only to get ""Care to tell what's a lie instead of making bold statements?"" back. Also look at the timing of the thread.",1
511533,"Again, no.",1
521470,"I might be wrong, and if that's not the case I can take a look deeper and the end of the week.",0
522705,"I would drop this patch for being too ugly and if nothing else, for lack of users (epoll will no longer need dlock).",1
539613,"Also use tag selftests/tpm2 instead of having two tags in the short summaries. Now they look a bit weird.. Since when is the cover letter mandatory? I understand that is helps for a complicated patch set to explain the problem and solution in the cover letter, but for this simple test case addition what's the point? And there is nothing forcing a cover letter in https://www.kernel.org/doc/html/v4.20/process/submitting-patches.html",1
541450,"I don't think not fixing it because it's not fixed yet is a good reason to keep things the way they are. But maybe that's just me. Given that the structure has already been extended several times  there is pretty much nothing to keep this from happening again and again.. There probably is a decent compromise to find between not accepting a single additional byte and accepting several GB.For example how likely is it that the growth of this structure make it go over a page? I would hope not at all.. Thats a misleading statement.  We've never supported running newer applications on older kernels, and no one is forcing anyone to use the lksctp-tools library,I was only suggesting that, if we were to support this compatibility, that might be a place to offer it.. Also misleading, as it assumes that we're not intentionally doing this.  I get wanting to support running applications built for newer kernels on older kernels, but thats just not something that we do, and to say thats broken is misleading.  Older applications are required to run on newer kernels, but not vice versa, which is what you are asking for.. I won't disagree about the niceness of versioning, but that ship has sailed.. What a complete mess we have here.. I don't think not fixing it because it's not fixed yet is a good reason to keep things the way they are. But maybe that's just me.",1
546823,Looking more flexible does not make it more correct.. Looking more flexible does not make it more correct.,1
571417,This is phenomenal. Thank you so much for digging into this.,0
