thread_id,email_id,email_code,previous_email_id,previous_email_body,previous_email_code
169133,204633,uncivil,203117,"Hi, David:  How  is your thinking about this patch? Subject: [PATCH] netdev: carrier detect ok, don't turn off negotiation   Sometimes when physical lines have a just good noise to make the protocol  handshaking fail, but the carrier detect still good. Then after remove of  the noise, nobody will trigger this protocol to be start again to cause  the link to never come back. The fix is when the carrier is still on, not  terminate the protocol handshaking.  Ok, I submit it  again.   In drivers/net/wan/hdlc_ppp.c, some noise on physical line can cause the carrier detect still ok, but the protocol will fail. So if carrier detect ok, don't turn off protocol negotiation  This patch is against the kernel version Linux 4.15-rc8 Please resubmit it and I'll think about it again, thank you.",technical
170193,170197,uncivil,170198,Add basic self-test functionality for pmalloc.,technical
170193,188751,uncivil,170195,Well this introduces significant overhead for large sized allocation. Does this not matter because the areas are small?  Would it not be better to use compound page allocations here? page_head(whatever) gets you the head page where you can store all sorts of information about the chunk of memory.,technical
170193,188745,civil,190492,"Hi Igor,  Thank you for the patch! Yet something to improve:",technical
173287,173288,uncivil,173287,iio_dev->mlock is to be used only by the IIO core for protecting device mode changes between INDIO_DIRECT and INDIO_BUFFER.  This patch replaces the use of mlock with the already established buf_lock mutex. ,technical
174463,174508,uncivil,174487, I already sent a fix for this:,technical
174735,174850,uncivil,174736,"Export and import are mandatory in async hash. As drivers were rewritten, drop empty wrappers and correct init of ahash transformation. ",technical
174735,199553,uncivil,199556,All applied.  Thanks. ,technical
174735,199600,uncivil,199597,"The bug can only be in driver which will not implement those two functions, but we already had all drivers with those due to patches 1..4 All other drivers do have them.  Additionally, with crypto we want minimize code and run as fast as possible.  Moving checks out of core will impose on driver author need for implement those functions, or declare them empty, but in case of empty ones  crypto will not work properly with such driver. ",technical
174735,199673,uncivil,199600,"The core can very well check if these functions are not populated and return ENOSYS   So you remove all NULL pointer checks ? Esp. in security-sensitive code? What is the impact of this non-critical path code on performance?  Come on ...   You can very well impose that in the core, except you don't duplicate the code. ",uncivil
174735,199701,uncivil,199673,"Why you want checks for something that not exist ?  Those without them will not work and will do Oops in crypto testmgr, so such drivers should not be used nor accepted in drivers/crypto  Ask yourself why crypto do not check for NULL in ahash digest or other required ahash functions.   Now size of crypto core is reduced. ",uncivil
174735,200015,uncivil,199976,"It is source code duplication. One do not load all crypto drivers at once, simple because one board has only one crypto HW (or few closely related), and if one even try, almost none of them will initialize on given hardware. E.g. on Exynos board only exynos drivers will load, on board with omap crypto only omap crypto will load.    As I said above, it reduces binary size at cost of more source code in few drivers. ",uncivil
174735,199976,uncivil,199701,"Are you suggesting that the kernel code should NOT perform NULL pointer checks ?  Are you suggesting each driver should implement every single callback available and if it is not implemented, return -ENOSYS ? This looks like a MASSIVE code duplication.   You implemented the same code thrice, it surely is not reduced. ",uncivil
180488,180837,civil,180546,"This doesn't make much sense to me, to be honest. We are holding mmap_sem for _read_ so we allow parallel updates like page faults or unmaps. Therefore we are isolating pages prior to the migration.  The sole purpose of the mmap_sem in add_page_for_migration is to protect from vma going away _while_ need it to get the proper page.  Moving the lock up is just wrong because it allows caller to hold the lock for way too long if a lot of pages is migrated. Not only that, it is even incorrect because we are doing get_user() (aka page fault) and while read lock recursion is OK, we might block and deadlock when there is a writer pending. I haven't checked the current implementation of semaphores but I believe we do not allow recursive locking.",technical
183468,183472,civil,183473,"stable: 62 boots: 0 failed, 58 passed with 2 offline, 2 untried/unknown Full Boot Summary. For more info write to ",technical
202437,202446,uncivil,202444,"The variables dssdev"" and ""vid_dev"" will eventually be set to appropriate pointers a bit later. Thus omit the explicit initialisations at the beginning.  ",technical
202437,505099,uncivil,202446,Use normal patch styles. Fix your tools before you send any more patches.,uncivil
202437,505195,uncivil,505193,"Interesting. Would you like to share any more information from this meeting?    I would appreciate further indications for a corresponding change acceptance.  I found a feedback by Mauro Carvalho Chehab more constructive. Cleanup fixes. This time, I was nice and I took some time doing",uncivil
202437,505193,uncivil,505158,For the record: this only applies to drivers/media. We discussed what do to with series like this during our media summit last Friday and this was the conclusion of that. Obviously I can't talk about other subsystems.,technical
202437,513970,uncivil,505225,I have got an other impression.    I continued with the presentation of suggestions from my selection of change possibilities. It seems that there are very different expectations for the preferred patch granularity.  Can it happen again that you are going to use a development tool like quilt (as a maintainer) for the desired recombination of possible update steps?,technical
202437,745390,uncivil,513970,I find it very surprising that you rejected 146 useful update suggestions so easily.    What does this software area make it so special in comparison to other Linux subsystems?    * Have you taken any other solution approaches into account than   a quick rejection?  * Could your reaction have been different if the remarkable number of   change possibilities were sent by different authors (and not only me)?  * How should possibly remaining disagreements about affected implementation   details be resolved now?  * Are you looking for further improvements around development tools   like patchwork and quilt?  * Will you accept increasing risks because of bigger patch sizes?    * Can such an information lead to differences in the preferred patch granularity?  * How do you think about this detail?    How would you ever like to clean up stuff in affected source files which was accumulated (or preserved somehow) over years?    I guess that this handling will trigger more communication challenges.    Our common sense seems to be occasionally different in significant ways.    I distribute my software development capacity over several areas. Does your wording indicate a questionable signal for further contributions?,uncivil
202437,160227,uncivil,745390,Would you like to answer my still remaining questions in any more constructive ways?,uncivil
202437,191235,uncivil,160227,Are you going to answer any of my remaining questions in a more constructive way?,uncivil
202437,191241,uncivil,191235,Do any contributors get into the mood to take another look at software updates from my selection of change possibilities in a more constructive way?  Do you need any additional development resources?,uncivil
202437,191275,uncivil,191241,"One last time: either post per-driver patches with all the cleanups for a driver in a single patch, or a per-directory patch (drivers/media/pci, usb, etc) doing the same cleanup for all drivers in that directory.  I prefer the first approach, but it's up to you.  We don't have the time to wade through dozens of one-liner cleanup patches.  I don't understand what is so difficult about this.",uncivil
202437,196318,uncivil,191275,"I preferred to offer source code adjustments according to specific transformation patterns mostly for each software module separately (also in small patch series).    I am curious if bigger patch packages would be easier to get accepted.  Or would you get frightened still by any other change combination?     We have got different preferences for a safe patch granularity.    I imagine that there are more development factors involved.    It is usual that integration of update suggestions will take some time. How would the situation change if I would dare to regroup possible update steps?    There are communication difficulties to consider since your terse information from your conference meeting.  If you would insist on patch squashing, would you dare to use a development tool like quilt fold also on your own once more?",uncivil
207400,207934,civil,207917,"Andrew,  You didn't miss it - I probably need to explain it better.  The 'emulated devices' do respond on different slave addresses (which match one of or the only the slave addresses those parts support). For example the device-tree for the GW54xx has the following which are all from the GSC which is the only thing on i2c1 One issue I'm trying to figure out the best way to deal with is the fact that the GSC can 'NAK' transactions occasionally which is why I override the regmap read/write functions and provide retries. This resolves the issue for the mfd core driver and sub-module drivers but doesn't resolve the issue with these 'emulated devices' which have their own stand-alone drivers. I'm not sure how to best deal with that yet. I tried to add retires to the i2c adapter but that wasn't accepted upstream because it was too generic and I was told I need to work around it in device-drivers. I'm guessing I need to write my own sub-module drivers that will largely duplicate whats in the stand-alone drivers.""",technical
207400,208102,civil,208059,Hi Tim  There appears to be a few spaces vs tabs issues in this file.,technical
207400,208141,civil,208102,"Hi Dmitry - thanks for the review!   ok   ok - will have this in v2. oops, did not mean to submit that   it was for original debugging and not needed - will remove   Yes, that makes sense. I'll propose something like the following in. right - thanks!   I am using request_threaded_irq with thread_fn with thread_fn (vs handler).  Do you mean why use a work procedure? I guess I don't need that and can call input_report_key directly from the irq.   ok   can you point me to an example dts/driver?  Tim",civil
207400,208159,civil,208144,Thanks. I'll run through checkpatch prior to v2.,technical
210458,210459,uncivil,210458,"debugfs_real_fops() returns a NULL pointer when it is invoked without a prior call to debugfs_file_get(). In code paths including this call it is not strictly necessary to check the return value of debugfs_real_fops(). However clang inlines debugfs_real_fops(), detects the invalid dereferencing of the NULL pointer and drops the code path. This leads to a bunch of objtool warnings when building with clang,  Check the pointer returned by debugfs_real_fops() in all code paths to make clang and objtool happy.  ",technical
210458,210461,uncivil,210467,"Or, as the case may be, oopsing at the point of failure.    --",technical
210458,210463,uncivil,210462," Thanks all for your input, we'll try to get -fno-delete-null-pointer-checks or a similar flag to be added to",technical
216128,216133,civil,216131,"The old_serial_port global array in 8250_core is supposed to hold an entry for each serial port on the system that cannot be discovered via a standard enumeration mechanism (aka ACPI/PCI/DTS).  The array is populated at compile-time from the value specified in the SERIAL_PORT_DFNS macro. This macro is defined in arch/serial.h.  For x86, this macro is currently unconditionally initialized to supply four ioport UARTs (0x3F8, 0x2F8, 0x3E8, 0x2E8).  However, not all x86 CPUs have these four ioport UARTs.  For example, the UARTs on AMD Carrizo and later are separate memory mapped Designware IP blocks.  Fairly early in boot the console_initcall univ8250_console_init iterates over this array and installs these old UARTs into the global array serial8250_ports.  Further, it attempts to register them for use as the console.  In other words, if, for example, the kernel commandline has console=ttyS0, the console will be switched over to one of these non-existent UARTs.  Only later, when the real UART drivers are probed and their devices are instantiated will the console switch back over to the proper UART.  This is noticeable when using earlycon, since part of the serial console log will appear to disappear (when the bogus old takes over) and then re-appear (when the real UART finally gets registered for the console).  The problem is even more noticable when *not* using earlycon, since in this case the entire console output is missing, having been incorrectly played back to the non-existing serial port.  Create a global variable to allow skipping old serial port initialization and wire it up to the AMDCZ ACPI SPCR quirk and the special amdcz earlycon setup handler.  ",technical
216128,216130,civil,216132,"Hi Daniel,  Thank you for the patch! Yet something to improve:  [if your patch is applied to the wrong git tree, please drop us a note to help improve the system",technical
221804,221853,uncivil,221804,"Add Amiga Gayle PATA controller driver. It enables libata support for the on-board IDE interfaces on some Amiga models (A600, A1200, A4000 and A4000T) and also for IDE interfaces on the Zorro expansion bus (M-Tech E-Matrix 530 expansion card).  Thanks to John Paul Adrian Glaubitz and Michael Schmitz for help with testing the driver. ",technical
222860,223021,uncivil,223039,"Hi,    How many times are we going to allow copy-and-pasting the same driver? Last time we wanted to modify the Rockchip driver, we were told consolidate"", because ST had already forked our driver. This nearly halted all progress. I'm going to be real disappointed if we see another fork get merged.  (IOW, I would say ""over my dead body,"" but I have no power here.)  And why can't you use DRM?""",uncivil
222860,230472,civil,224687,Does this use driver model? I cannot see it.,technical
230843,231058,civil,231041,"Right, ok. That's a problem.  This means that you are relying on get_module_plt() being called at least once at module load time, which is not guaranteed.  Instead, you should set this member (and perhaps the entire prealloc routine) in a module_finalize() implementation.",technical
231231,232204,civil,232201,"There is no limit on CPU equivalence table length in this patch series like it was in the previous version.  The maximum possible value returned by install_equiv_cpu_table() of comes from the maximum value of this 'size' variable (that is UINT_MAX) plus the header length of CONTAINER_HDR_SZ. This won't fit in 'int' type, hence this patch.  That's because this functions tells its caller how much bytes to skip from the beginning of a microcode container file to the first patch section contained in it.",technical
232313,234089,uncivil,232313,"there are 2 reasons for no need to wait device probe  reason 1: mount root device is very late in kernel initial stage. all initcalls are finished. that means most of probe functions are returned.  and deferred probe are also finished by late_initcall. only async probe driver are possible in  probing.  no block devices, device-mapper or nfs are use async probe. so no need to wait device probe.  reason 2: let's check dd.c, probe_count is increased and decreased only in really_probe, and when really_probe returns, probe_count always be 0.  when someone really wants to wait device-B probe. but code looks like:",technical
239101,240255,uncivil,240077,"Hi Milan, I will run veritysetup test on next version of these patches and contact you about verity-compat-test testsuits.",technical
239101,240572,civil,240255,"They've been dropped.  BUT please do note that the patches I pushed to linux-dm.git were rebased ontop of the 'check_at_most_once' patch.  I never did get an answer about how the sg array is free'd in certain error paths (see FIXME:"" in the 2nd patch).  Also, I fixed some issues I saw in error paths, and lots of formatting.  I'll be pretty frustrated if you submit v2 that is blind to the kinds of changes I made.  I'll send you a private copy of the patches just so you have them for your reference.""",uncivil
245912,245922,uncivil,245963,This commit adds a maintainer information for the PECI subsystem.,technical
245912,245953,civil,245922,"Is this include needed?   Please use bool.   I am quite completely missing how the two functions above are different.   There is a lot of duplication in those functions. Would it be possible to find common code and use functions for it instead of duplicating everything several times ?   What if nothing is found ?   FWIW, it might be better to pass channel - DEFAULT_CHANNEL_NUMS as parameter.  What if find_core_index() returns priv->gen_info->core_max, ie if it didn't find a core ?   This attribute should not exist.   lcrit is tcontrol - tjmax, and crit_hyst above is tjmax - tcontrol ? How does this make sense ?   Am I missing something, or is the same temperature reported several times ? tjmax is also reported as temp_crit cputemp_read_die(), for example.   There is again a lot of duplication in those functions.   Can this be made less magic with some defines ?   Does this mean there will be an error message for each non-supported CPU ? Why ?   -ENODEV is not an error, and should not result in an error message. Besides, the error can also be propagated from peci core code, and may well be something else.   Then what ? Shouldn't this result in probe deferral or something more useful instead of just being ignored ?   FWIW, this should be two separate patches.   Needed ?   It might make sense to provide the duplicate functions in a core file.   This again looks like duplicate code.   Please handle error cases first.   More duplicate code.   One set of ( ) is unnecessary on each side of the expression.   Why is this invalid"", and why does it warrant an error message ?   Is priv->addr guaranteed to be >= PECI_BASE_ADDR ?  Or the peci command failed.   cancel_delayed_work_sync() ?""",uncivil
245912,245916,uncivil,245939,"Additionally, I need to explain that there is one and only bus host (adapter) and multiple clients on a PECI bus, and PECI spec doesn't allow multiple originators so only the host device can originate message. In this implementation, all message transactions on a bus from client driver modules and user space will be serialized well in the PECI core bus driver so bus occupation and traffic arbitration will be managed well in the PECI core bus driver even in case of a bus has 2  client drivers at the same address. I'm sure that this implementation  doesn't make that kind of problem to OS.",technical
254985,255085,uncivil,254985,"Page replacement is handled in the Linux Kernel in one of two ways:  1) Asynchronously via kswapd 2) Synchronously, via direct reclaim  At page allocation time the allocating task is immediately given a page from the zone free list allowing it to go right back to work doing whatever it was doing, Probably directly or indirectly executing business logic.  Just prior to satisfying the allocation, free pages is checked to see if it has reached the zone low watermark and if so, kswapd is awakened. Kswapd will start scanning pages looking for inactive pages to evict to make room for new page allocations. The work of kswapd allows tasks to continue allocating memory from their respective zone free list without incurring any delay.  When the demand for free pages exceeds the rate that kswapd tasks can supply them, page allocation works differently. Once the allocating task finds that the number of free pages is at or below the zone min watermark, the task will no longer pull pages from the free list. Instead, the task will run the same CPU-bound routines as kswapd to satisfy its own allocation by scanning and evicting pages. This is called a direct reclaim.  The time spent performing a direct reclaim can be substantial, often taking tens to hundreds of milliseconds for small order0 allocations to half a second or more for order9 huge-page allocations. In fact, kswapd is not actually required on a linux system. It exists for the sole purpose of optimizing performance by preventing direct reclaims.  When memory shortfall is sufficient to trigger direct reclaims, they can occur in any task that is running on the system. A single aggressive memory allocating task can set the stage for collateral damage to occur in small tasks that rarely allocate additional memory. Consider the impact of injecting an additional 100ms of latency when nscd allocates memory to facilitate caching of a DNS query.  The presence of direct reclaims 10 years ago was a fairly reliable indicator that too much was being asked of a Linux system. Kswapd was likely wasting time scanning pages that were ineligible for eviction. Adding RAM or reducing the working set size would usually make the problem go away. Since then hardware has evolved to bring a new struggle for kswapd. Storage speeds have increased by orders of magnitude while CPU clock speeds stayed the same or even slowed down in exchange for more cores per package. This presents a throughput problem for a single threaded kswapd that will get worse with each generation of new hardware.  Test Details  NOTE: The tests below were run with shadow entries disabled. See the associated patch and cover letter for details  The tests below were designed with the assumption that a kswapd bottleneck is best demonstrated using filesystem reads. This way, the inactive list will be full of clean pages, simplifying the analysis and allowing kswapd to achieve the highest possible steal rate. Maximum steal rates for kswapd are likely to be the same or lower for any other mix of page types on the system.  Tests were run on a 2U Oracle X7-2L with 52 Intel Xeon Skylake 2GHz cores, 756GB of RAM and 8 x 3.6 TB NVMe Solid State Disk drives. Each drive has an XFS file system mounted separately as /d0 through /d7. SSD drives require multiple concurrent streams to show their potential, so I created 11 250GB zero-filled files on each drive so that I could test with parallel reads.  The test script runs in multiple stages. At each stage, the number of dd tasks run concurrently is increased by 2. I did not include all of the test output for brevity.  During each stage dd tasks are launched to read from each drive in a round robin fashion until the specified number of tasks for the stage has been reached. Then iostat, vmstat and top are started in the background with 10 second intervals. After five minutes, all of the dd tasks are killed and the iostat, vmstat and top output is parsed in order to report the following:  CPU consumption - sy - aggregate kernel mode CPU consumption from vmstat output. The value doesn't tend to fluctuate much so I just grab the highest value. Each sample is averaged over 10 seconds - dd_cpu - for all of the dd tasks averaged across the top samples since            there is a lot of variation.  Throughput - in Kbytes - Command is total  This first test performs reads using O_DIRECT in order to show the maximum throughput that can be obtained using these drives. It also demonstrates how rapidly throughput scales as the number of dd tasks are increased.  The dd command for this test looks like this> Throughput was close to peak with only 22 dd tasks. Very little system CPU was consumed as expected as the drives DMA directly into the user address space when using direct IO.  In this next test, the iflag=direct option is removed and we only run the test until the pgscan_kswapd from /proc/vmstat starts to increment. At that point metrics are parsed and reported and the pagecache contents are dropped prior to the next test. Lather, rinse, repeat.  Each read has to pause after the buffer in kernel space is populated while those pages are added to the pagecache and copied into the user address space. For this reason, more parallel streams are required to achieve peak throughput. The copy operation consumes substantially more CPU than direct IO as expected.  The next test measures throughput after kswapd starts running. This is the same test only we wait for kswapd to wake up before we start collecting metrics. The script actually keeps track of a few things that were not mentioned earlier. It tracks direct reclaims and page scans by watching the metrics in /proc/vmstat. CPU consumption for kswapd is tracked the same way it is tracked for dd.  Since the test is 100% reads, you can assume that the page steal rate for kswapd and direct reclaims is almost identical to the scan rate. In the previous test where kswapd was not involved, the system-wide kernel mode CPU consumption with 90 dd tasks was 16%. In this test CPU consumption with 90 tasks is at 43%. With 52 cores, and two kswapd tasks (one per NUMA node), kswapd can only be responsible for a little over 4% of the increase. The rest is likely caused by 51,618 direct reclaims that scanned 1.2 billion pages over the five minute time period of the test.  Same test, more kswapd tasks:  By increasing the number of kswapd threads, throughput increased by ~50% while kernel mode CPU utilization decreased or stayed the same, likely due to a decrease in the number of parallel tasks at any given time doing page replacement. allows you to control the number of kswapd threads per node +running on the system. This provides the ability to devote additional CPU +resources toward proactive page replacement with the goal of reducing +direct reclaims. When direct reclaims are prevented, the CPU consumed +by them is prevented as well. Depending on the workload, the result can +cause aggregate CPU usage on the system to go up, down or stay the same. + +More aggressive page replacement can reduce direct reclaims which cause +latency for tasks and decrease throughput when doing filesystem IO through +the pagecache. Direct reclaims are recorded using the allocstall counter +in /proc/vmstat. + +The default value is 1 and the range of acceptible values are 1-16. +Always start with lower values in the 2-6 range. Higher values should +be justified with testing. If direct reclaims occur in spite of high +values, the cost of direct reclaims (in latency) that occur can be +higher due to increased lock contention. ",technical
258997,259457,uncivil,258997,"Hi, Linus,  Please pull from git:// next  to receive the latest Thermal Management updates for v4.17-rc1 with top-most commit?  Merge branches 'thermal-core' and 'thermal-soc' into next on top of commit: Specifics:  - Fix race condition in imx_thermal_probe().  Add cooling device's statistics in sysfs.  add support for i.MX7 thermal sensor in imx_thermal driver. add support for MT7622 SoC in mtk_thermal driver. Remove unused min/max cpu cooling DT property.A series of fixes on exynos driver. ",technical
258997,259513,civil,259457,"Pulled, and then immediately unpulled again.  The code causes new compiler warnings, and the warnings are valid.  If people don't care enough about their code to even check the warnings, I'm not going to waste one second pulling the resulting garbage. It's that simple.",uncivil
258997,260177,uncivil,260171,"Hi,   Since this condition cannot happen (the driver makes sure of this during probe) I would prefer much simpler fix from Arnd:    (I've already ACKed it two weeks ago).   ditto",technical
258997,260189,uncivil,260184,It is okay to return 0 because this code-path (the default one) will be never hit by the driver (probe makes sure of it) - the default case is here is just to silence compilation errors..,technical
258997,260193,civil,260189,The init function is making sure cal_type is one or another. Can you fix it correctly by replacing the 'switch' by a 'if' instead of adding dead branches to please gcc?,uncivil
259276,259299,uncivil,259276,"de4x5_hw_init() is never called in atomic context.  de4x5_hw_init() is only called by de4x5_pci_probe(), which is only  set as .probe"" in struct pci_driver.  Despite never getting called from atomic context, de4x5_hw_init()  calls mdelay() to busily wait. This is not necessary and can be replaced with usleep_range() to  avoid busy waiting.  This is found by a static analysis tool named DCNS written by myself. And I also manually check it.",technical
259276,259489,civil,259487,"James is right, You have added all usleep_range() during system boot-up  time. During boot-up system will run as single threaded. Where this change will not make much sense. System first priority is match the exact timing on each and every boot-up.  ",technical
261377,261389,uncivil,261377,Upstream commit  Make calibration register value fixed  makes ina2xx_set_shunt() call mutex_lock on an un-initialized mutex. Initialize it prior so we don't get a NULL pointer dereference error  ,technical
261866,263843,uncivil,261868,This patch adds missing stuff to support multislot mode in DesignWare MMC driver.  The main changes:  * Add missing slot switch to __dw_mci_start_request() function.  * Refactor set_ios function:    a) Calculate common clock which is       suitable for all slots instead of directly use clock value       provided by mmc core. We calculate common clock as the minimum       among each used slot clocks. This clock is calculated in       dw_mci_calc_common_clock() function which is called       from set_ios()    b) Disable clock only if no other slots are ON.    c) Setup clock directly in set_ios() only if no other slots       are ON. Otherwise adjust clock in __dw_mci_start_request()       function before slot switch.    d) Move timings and bus_width setup to separate funcions.  * Use timing field in each slot structure instead of common field in    host structure.  * Add locks to serialize access to registers.  NOTE: this patch is based off of v4.17-rc1  NOTE: as of today I tested this changes (in singleslot and multislot    modes) only on Synopsys HSDK board. But I will get ODROID-XU4 board    (with Exynos5422 which has DW MMC controller) the next week    so I will test it on this board too to catch any regressions. ,technical
